TIME,ID CON,ID MẸ,ID BỐ ,GT,GĐ,"SỐ LIỆU
BỐ","SỐ LIỆU
MẸ","SỐ LIỆU
CON"
36W,22222301044.0,22111051009.0,22111260110.0,1.0,1,5.0,4.0,
36W,22222301016.0,22111491029.0,22111260110.0,1.0,1,5.0,1.0,
36W,22222301057.0,22111121064.0,22111260110.0,1.0,1,5.0,1.0,
36W,22222301048.0,22111491029.0,22111260110.0,1.0,1,5.0,1.0,
36W,22222301031.0,22111121064.0,22111260110.0,1.0,1,5.0,1.0,
36W,22222311058.0,22111331054.0,22111300011.0,1.0,1,5.9,6.0,
36W,22222311001.0,22111081035.0,22111300011.0,1.0,1,5.9,6.0,
36W,22222311007.0,22111081035.0,22111300011.0,1.0,1,5.9,6.0,
36W,22222311033.0,22111081035.0,22111300011.0,1.0,1,5.9,6.0,
36W,22222311039.0,22111331054.0,22111300011.0,1.0,1,5.9,6.0,
36W,22222311008.0,22111331054.0,22111300011.0,1.0,1,5.9,6.0,
36W,22222311074.0,22111231007.0,22111300011.0,1.0,1,5.9,5.0,
36W,22222311065.0,22111231007.0,22111300011.0,1.0,1,5.9,5.0,
36W,22222311047.0,22111391051.0,22111300011.0,1.0,1,5.9,,
36W,22222311073.0,22111391051.0,22111300011.0,1.0,1,5.9,,
36W,22222311006.0,22111391051.0,22111300011.0,1.0,1,5.9,,
36W,22222311070.0,22111391051.0,22111300011.0,1.0,1,5.9,,
36W,22222311045.0,22111391051.0,22111300011.0,1.0,1,5.9,,
36W,22222311027.0,22111041081.0,22111300011.0,1.0,1,5.9,2.0,
36W,22222321005.0,22111391046.0,22111310029.0,1.0,1,5.0,7.0,
36W,22222321029.0,22111391046.0,22111310029.0,1.0,1,5.0,7.0,
36W,22222321015.0,22111161049.0,22111310029.0,1.0,1,5.0,6.0,
36W,22222321001.0,22111161049.0,22111310029.0,1.0,1,5.0,6.0,
36W,22222321024.0,22111161049.0,22111310029.0,1.0,1,5.0,6.0,
36W,22222321027.0,22111161049.0,22111310029.0,1.0,1,5.0,6.0,
36W,22222321050.0,22111121045.0,22111310029.0,1.0,1,5.0,,
36W,22222321085.0,22111121045.0,22111310029.0,1.0,1,5.0,,
36W,22222321049.0,22111121045.0,22111310029.0,1.0,1,5.0,,
36W,22222321071.0,22111121045.0,22111310029.0,1.0,1,5.0,,
36W,22222321031.0,22111041067.0,22111310029.0,1.0,1,5.0,5.0,
36W,22222321061.0,22111041067.0,22111310029.0,1.0,1,5.0,5.0,
36W,22222321006.0,22111331021.0,22111310029.0,1.0,1,5.0,1.0,
36W,22222331012.0,22111281058.0,22111310055.0,1.0,1,5.0,7.0,
36W,22222331055.0,22111281058.0,22111310055.0,1.0,1,5.0,7.0,
36W,22222331065.0,22111081022.0,22111310055.0,1.0,1,5.0,5.0,
36W,22222331017.0,22111121037.0,22111310055.0,1.0,1,5.0,6.0,
36W,22222331059.0,22111121037.0,22111310055.0,1.0,1,5.0,6.0,
36W,22222341018.0,22111281053.0,22111310085.0,1.0,1,5.0,5.0,
36W,22222341011.0,22111281053.0,22111310085.0,1.0,1,5.0,5.0,
36W,22222341060.0,22111161004.0,22111310085.0,1.0,1,5.0,4.0,
36W,22222341042.0,22111161004.0,22111310085.0,1.0,1,5.0,4.0,
36W,22222341019.0,22111161004.0,22111310085.0,1.0,1,5.0,4.0,
36W,22222341012.0,22111161004.0,22111310085.0,1.0,1,5.0,4.0,
36W,22222341024.0,22111041039.0,22111310085.0,1.0,1,5.0,5.0,
36W,22222341032.0,22111041039.0,22111310085.0,1.0,1,5.0,5.0,
36W,22222351017.0,22111121019.0,22111320112.0,1.0,1,4.9,6.0,
36W,22222351020.0,22111121019.0,22111320112.0,1.0,1,4.9,6.0,
36W,22222351050.0,22111121019.0,22111320112.0,1.0,1,4.9,6.0,
36W,22222351075.0,22111121019.0,22111320112.0,1.0,1,4.9,6.0,
36W,22222351018.0,22111321125.0,22111320112.0,1.0,1,4.9,6.0,
36W,22222351063.0,22111321125.0,22111320112.0,1.0,1,4.9,6.0,
36W,22222351045.0,22111321125.0,22111320112.0,1.0,1,4.9,6.0,
36W,22222351005.0,22111321125.0,22111320112.0,1.0,1,4.9,6.0,
36W,22222351071.0,22111221054.0,22111320112.0,1.0,1,4.9,1.0,
36W,22222351034.0,22111221054.0,22111320112.0,1.0,1,4.9,1.0,
36W,22222351060.0,22111221054.0,22111320112.0,1.0,1,4.9,1.0,
36W,22222351041.0,22111151158.0,22111320112.0,1.0,1,4.9,2.0,
36W,22222351013.0,22111151158.0,22111320112.0,1.0,1,4.9,2.0,
36W,22222351054.0,22111151158.0,22111320112.0,1.0,1,4.9,2.0,
36W,22222351047.0,22111041027.0,22111320112.0,1.0,1,4.9,5.0,
36W,22222351006.0,22111081001.0,22111320112.0,1.0,1,4.9,4.0,
36W,22222351080.0,22111041027.0,22111320112.0,1.0,1,4.9,5.0,
36W,22222351064.0,22111081001.0,22111320112.0,1.0,1,4.9,4.0,
36W,22222351043.0,22111081001.0,22111320112.0,1.0,1,4.9,4.0,
36W,22222351007.0,22111081001.0,22111320112.0,1.0,1,4.9,4.0,
36W,22222351056.0,22111081001.0,22111320112.0,1.0,1,4.9,4.0,
36W,22222351037.0,22111041027.0,22111320112.0,1.0,1,4.9,5.0,
36W,22222351023.0,22111081001.0,22111320112.0,1.0,1,4.9,4.0,
